name,variables,records,size_in_mb
np2006mr,2897,4397,19
np2006br,8751,26394,364
np2011ir,7998,12862,168
np2011kr,8783,5306,74
np2011pr,325,49791,33
np2011mr,2761,4121,17
np2011br,8534,26615,363
np2016ir,11120,12674,210
np2016kr,12173,5038,89
np2016br,11949,26028,453
np2016mr,642,4063,3
np2016pr,433,49064,42
pe1991ir,3696,15882,94
pe1991kr,846,9362,14
pe1996ir,4144,28951,176
pe1996kr,1004,17549,30
pe2000ir,6730,27843,277
pe2000kr,1595,13697,49
pe2006ir,7513,41648,464
pe2006kr,1677,14660,39
pe2010ir,7690,22947,258
pe2010kr,1580,9281,24
pe2011ir,8501,22517,278
pe2011kr,1651,9146,24
pe2012ir,8039,23888,277
pe2012kr,1650,9620,25
pk1991pr,170,52358,24
pk1991ir,4596,6611,45
pk1991kr,4991,6428,47
pk1991mr,1617,1354,2
pk1991br,4707,27369,185
pk2006pr,743,727493,1808
pk2006ir,6273,10023,94
pk2006kr,7064,9177,94
pk2006br,6769,39049,382
pk2012pr,499,94169,96
pk2012ir,8554,13558,173
pk2012kr,9269,11763,160
pk2012mr,3755,3134,17
pk2012br,8963,50238,659
rw1992br,3803,19440,105
rw1992ir,3711,6551,35
rw1992mr,946,10000,12
rw1992kr,3999,5510,32
rw1992pr,160,31881,13
rw2000br,7187,27602,277
rw2000ir,6761,10421,100
rw2000mr,2730,10000,36
rw2000kr,7488,7922,84
rw2000pr,334,45247,38
rw2005br,8275,30072,387
rw2005ir,7793,11321,140
rw2005mr,2691,10000,37
rw2005kr,8620,8649,116
rw2005pr,765,47851,135
rw2008ir,5247,7313,45
rw2008kr,6173,5489,40
rw2008br,6172,18421,136
rw2008mr,2127,6837,17
rw2008pr,307,32625,16
rw2010br,9900,32639,532
rw2010ir,9403,13671,216
rw2010mr,3960,10000,67
rw2010kr,10199,9002,151
rw2010pr,1045,56505,204
rw2014ir,8885,13497,192
rw2014kr,9791,7856,121
rw2014br,9470,30058,448
rw2014mr,3396,10000,52
rw2014pr,911,54905,169
sd1989br,3045,25805,107
sd1989ir,2901,5860,24
sd1989kr,3154,6644,29
sn1986br,2130,14389,44
sn1986ir,1963,4415,13
sn1986kr,2263,4287,14
sn1992br,5341,20815,177
sn1992mr,2000,1436,3
sn1992pr,380,31966,57
sn1992ir,5121,6310,53
sn1992kr,5524,5645,50
sn1997br,5188,27448,208
sn1997mr,1869,4306,9
