name,variables,records,size_in_mb
ie1971a,205,380163,96
ie1979a,110,436139,60
ie1981a,224,446181,124
ie1986a,182,462298,115
ie1991a,230,465298,132
ie1996a,191,488183,125
ie2002a,238,550728,166
ie2006a,246,598076,189
ie2011a,289,650186,223
jm1982a,310,278193,100
jm1991a,381,294916,117
jm2001a,513,269496,148
mw1987a,349,984939,318
mw1998a,325,1220398,382
mw2008a,464,1640584,802
sl2004a,396,576816,221
sd2008a,729,5989346,3519
sv1992a,345,636455,239
sv2007a,455,746376,389
id1971a,243,761044,201
id1976a,450,335996,159
id1980a,448,8740470,4443
id1985a,340,732824,269
id1990a,424,1114001,559
id1995a,400,884870,428
id2000a,173,25237510,6142
id2005a,425,1357624,630
id2010a,323,29754213,11846
ma1982a,255,1184557,324
ma1994a,254,1516109,452
ma2004a,334,1807295,678
ni1971a,265,225532,68
ni1995a,298,518543,202
ni2005a,441,634824,282
tr1985a,207,3141237,749
tr1990a,201,3528073,852
tr2000a,224,4379083,1137
uy1963a,257,335574,99
uy1975a,262,375929,114
uy1985a,320,401676,131
uy1996a,358,433987,167
uy2006a,1274,342182,499
uy2011a,402,446923,197
bd1991a,204,12552028,2495
bd2001a,201,15068074,3039
bd2011a,183,8860351,1767
bf1985a,167,1030066,195
bf1996a,270,1244223,397
bf2006a,355,1654030,584
cm1976a,264,896658,277
cm1987a,255,1072857,329
cm2005a,464,2117722,1172
fj1966a,127,55869,9
fj1976a,219,67260,20
fj1986a,265,85158,29
fj1996a,373,92385,36
fj2007a,561,102845,55
ht1971a,232,530014,133
ht1982a,270,157468,54
ht2003a,493,1057678,491
ss2008a,729,635357,373
lr1974a,139,300512,55
lr2008a,350,416893,142
do1960a,114,403112,65
do1970a,142,544180,103
do1981a,442,579733,264
do2002a,480,1104981,554
do2010a,575,1253408,630
ng2006a,415,101998,55
ng2007a,370,103603,44
ng2008a,346,129127,53
ng2009a,377,99485,40
ng2010a,547,88205,65
ua2001a,190,6794738,1576
zm1990a,366,916962,356
zm2000a,453,1182342,555
zm2010a,499,1572778,734
mz1997a,174,1918151,525
mz2007a,236,2510468,700
py1962a,121,108543,19
py1972a,155,277552,55
py1982a,205,362047,94
py1992a,199,516105,119
py2002a,247,629122,181
et1984a,185,4199868,934
et1994a,194,6148151,1402
et2007a,194,9021920,1972
bw1981a,134,115545,20
bw1991a,207,161864,32
bw2001a,256,211051,59
bw2011a,312,263544,77
pl1978a,128,4680223,761
pl1988a,108,5157844,624
pl2002a,251,5172740,1547
pl2011a,92,5673748,810
tt1970a,134,85220,16
tt1980a,128,129334,22
tt1990a,152,140665,23
tt2000a,300,147548,53
tt2011a,290,158523,45
no1801a,86,1042586,360
no1865a,114,2023275,586
no1875a,123,778428,232
no1900a,123,2750787,806
no1910a,143,3035249,1019
se1880a,155,5820470,5363
se1890a,155,6159494,5628
se1900a,155,6633320,6046
se1910a,157,7145489,6515
is1703a,91,54792,35
is1729a,90,8978,3
is1801a,84,54570,12
is1901a,133,96533,149
is1910a,121,102009,67
dk1787a,97,1012670,879
dk1801a,97,1117571,886
pg1980a,163,362568,90
