name,variables,records,size_in_mb
cps1991_06s,891,218581,234
cps1991_09s,872,220042,230
cps1991_01s,921,220419,240
cps1991_02b,853,220359,227
cps1991_04b,853,220098,227
cps1991_05s,918,219644,246
cps1991_07b,859,218732,226
cps1991_08b,853,219327,226
cps1991_10s,941,219188,248
cps1991_11b,859,218620,227
cps1991_12b,853,218174,225
cps1992_03b,896,215939,244
cps1992_03s,1259,230032,382
cps1992_02b,885,217547,241
cps1992_04b,884,215771,238
cps1992_05b,885,216549,240
cps1992_07b,891,215555,240
cps1992_08b,885,216101,240
cps1992_12b,885,215721,239
cps1992_11s,904,215547,244
cps1992_06s,939,215457,256
cps1992_09s,1015,216191,280
cps1992_10s,1041,215788,270
cps1992_01s,942,217095,260
cps1993_03b,896,214747,243
cps1993_03s,1115,229075,334
cps1993_02b,885,215455,239
cps1993_06b,885,213648,237
cps1993_07b,891,212938,237
cps1993_08b,885,212545,235
cps1993_11b,891,212377,236
cps1993_12b,885,212050,234
cps1993_09s,911,213432,244
cps1993_01s,1014,214738,276
cps1993_04s,1016,215008,263
cps1993_05s,1014,214340,276
cps1993_10s,1059,213114,272
cps1994_03b,875,210049,278
cps1994_03s,1336,224069,403
cps1994_02s,960,210545,311
cps1994_06s,903,207627,286
cps1994_10s,988,207391,308
cps1994_11s,928,208267,290
cps1994_01b,871,210882,278
cps1994_04b,873,210077,277
cps1994_05b,871,208951,275
cps1994_07b,870,206081,269
cps1994_08b,870,205242,268
cps1994_09s,947,205107,291
cps1994_12s,1129,207447,341
cps1995_03b,870,207054,267
cps1995_03s,1010,221794,321
cps1995_05s,1177,207872,355
cps1995_01b,869,208825,271
cps1995_02s,1060,207404,324
cps1995_04s,1007,207083,294
cps1995_06s,1062,208570,331
cps1995_07b,847,207930,263
cps1995_08s,878,208620,274
cps1995_09s,995,201519,307
cps1995_10s,1021,201050,305
cps1995_11b,882,200750,266
cps1995_12b,880,198185,261
cps1996_03b,885,179860,241
cps1996_03s,1417,193815,366
cps1996_01s,995,179761,273
cps1996_02s,1006,180089,281
cps1996_04b,884,181553,242
cps1996_05s,994,181349,276
cps1996_06b,882,182116,242
cps1996_07b,882,181901,242
cps1996_08b,882,182381,243
cps1996_09s,1033,183274,270
cps1996_10s,994,183754,273
cps1996_11s,902,184246,252
cps1996_12b,882,184223,245
cps1997_03b,885,181203,243
cps1997_03s,1124,195900,304
cps1997_01b,882,182914,243
cps1997_02s,1083,181544,294
cps1997_04s,1057,181844,272
cps1997_05s,944,182617,262
cps1997_06b,882,182931,243
cps1997_07b,882,181950,241
cps1997_08b,882,182986,243
cps1997_09s,914,184051,255
cps1997_10s,1129,183595,304
cps1997_11b,882,183858,244
cps1997_12b,882,182261,241
cps1998_03b,927,181209,257
cps1998_03s,1411,196276,373
cps1998_01b,920,182687,255
cps1998_02s,1025,181681,290
cps1998_04b,922,182076,254
cps1998_05b,920,183207,255
cps1998_06s,983,182802,272
cps1998_07b,920,182665,254
cps1998_08s,1073,182977,278
cps1998_09s,1036,183518,293
cps1998_10s,990,183736,275
cps1998_11s,940,184497,264
