name,variables,records,size_in_mb
us1965a,400,2021,1
us1975a,417,4584,4
us1985a,387,3339,2
us1993a,389,9386,8
us1995a,390,1199,1
us1998a,396,2351,2
us2003a,406,20720,20
us2004a,406,13973,13
us2005a,406,13038,12
us2006a,406,13943,13
us2007a,406,12248,11
us2008a,406,12723,12
us2009a,406,13133,12
us2010a,406,13260,12
us2011a,406,12479,12
us2012a,406,12443,12
