name,variables,records,size_in_mb
tz1999kr,5533,3215,28
tz1999pr,451,19255,37
tz2004br,9557,30557,463
tz2004ir,9201,10329,153
tz2004kr,9932,8564,135
tz2004pr,712,49921,139
tz2010br,9906,29777,467
tz2010ir,9471,10139,154
tz2010kr,10219,8023,130
tz2010pr,818,50414,147
tz2015ir,12197,13266,238
tz2015kr,13062,10233,194
tz2015br,12749,37169,684
tz2015pr,702,64880,92
ug1988br,2013,16074,49
ug1988ir,1914,4730,14
ug1988kr,2135,4959,16
ug1995br,4995,22752,158
ug1995ir,4754,7070,48
ug1995kr,5207,5756,42
ug1995pr,187,36026,17
ug2001br,8157,23410,315
ug2001ir,7863,7246,95
ug2001kr,8499,7113,100
ug2001pr,714,37951,107
ug2006br,9583,30090,453
ug2006ir,9169,8531,125
ug2006kr,9931,8369,131
ug2006pr,957,45439,143
ug2011br,9558,28609,418
ug2011ir,9161,8674,123
ug2011kr,9863,7878,119
ug2011pr,915,44977,137
ug2016ir,10541,18506,280
ug2016kr,11362,15522,250
ug2016br,11050,57906,902
ug2016pr,770,91167,136
bd1994pr,182,51631,24
bd1994kr,4175,3874,22
bd1994br,4057,32590,181
bd1994ir,3825,9640,52
bd1997pr,185,47432,22
bd1997kr,4454,6189,40
bd1997br,4259,29366,181
bd1997ir,4057,9127,55
bd2000pr,473,54627,120
bd2000kr,5467,6832,62
bd2000br,5232,31925,277
bd2000ir,4846,10544,88
bd2004pr,650,55883,144
bd2004kr,9555,6908,95
bd2004br,9321,33605,448
bd2004ir,8696,11440,146
bd2007pr,679,53413,138
bd2007kr,8946,6150,82
bd2007br,8660,30527,392
bd2007ir,8118,10996,135
bd2011pr,855,83731,248
bd2011kr,8830,8753,125
bd2011br,8518,45844,631
bd2011ir,8053,17842,239
bd2014pr,707,81624,213
bd2014ir,6823,17863,194
bd2014kr,7780,7886,95
bd2014br,7488,43772,506
bf1993ir,4451,6354,48
bf1993kr,4847,5828,47
bf1993br,4658,20655,160
bf1993pr,392,34222,62
bf1998ir,5284,6445,49
bf1998kr,5690,5953,49
bf1998br,5566,22145,176
bf1998pr,176,32181,15
bf2003ir,9524,12477,189
bf2003kr,10335,10645,172
bf2003br,9966,41520,646
bf2003pr,707,60766,169
bf2010ir,11340,17087,302
bf2010kr,11986,15044,278
bf2010br,11710,56178,1010
bf2010pr,906,82095,248
cm1991ir,4344,3871,28
cm1991kr,4697,3350,26
cm1991br,4475,11612,85
cm1991pr,403,20724,37
cm1998ir,5020,5501,39
cm1998kr,5372,2317,17
cm1998br,5166,15187,109
cm1998pr,179,26523,12
cm2004ir,9899,10656,168
cm2004kr,10593,8125,135
cm2004br,10221,29455,471
cm2004pr,719,51976,145
cm2011ir,13732,15426,315
cm2011kr,14538,11732,251
cm2011br,14216,42312,884
cm2011pr,1080,72622,237
ia1992ir,4956,89777,609
ia1992kr,5357,48959,357
ia1992br,5141,275172,1888
ia1992pr,250,514827,286
ia1998ir,5220,90303,670
ia1998kr,5924,33026,278
ia1998br,5682,268879,2136
ia1998pr,308,517379,339
ia2005ir,9408,124385,1840
ia2005kr,10238,51555,818
ia2005br,9902,256782,3932
ia2005pr,628,534161,727
ia2015ir,6568,699686,6619
ia2015kr,4116,259627,1618
ia2015br,3765,1315617,7383
ia2015pr,666,2869043,3911
zw1988br,2560,12405,48
zw1988ir,2427,4201,16
zw1988kr,2682,3358,14
zw1994pr,166,30188,13
zw1994br,4531,16777,112
zw1994ir,4410,6128,40
zw1994kr,4742,2438,17
zw1999pr,622,28523,75
zw1999br,6174,14184,148
zw1999ir,5936,5907,61
zw1999kr,6470,3643,40
zw2005pr,913,42698,129
zw2005br,9480,19489,288
zw2005ir,9113,8907,128
zw2005kr,9831,5246,80
zw2010pr,882,41946,127
zw2010br,8887,19279,272
zw2010ir,8544,9171,126
zw2010kr,9191,5563,81
zw2015pr,651,43706,60
zw2015ir,9910,9955,147
zw2015kr,10787,6132,97
zw2015br,10508,20791,319
ng1990ir,4521,8781,66
ng1990kr,4787,7902,62
ng1990br,4591,28123,210
ng1990pr,364,47847,84
ng1999pr,187,38558,18
ng1999ir,5569,9810,77
ng1999kr,6064,3552,30
ng1999br,5805,23277,189
ng2003ir,8092,7620,94
ng2003kr,8763,6029,79
ng2003pr,707,35820,98
ng2003br,8390,23038,290
ng2008ir,10465,33385,537
ng2008kr,11117,28647,484
ng2008pr,868,156809,461
ng2008br,10795,104808,1713
ng2013ir,10263,38948,611
ng2013kr,10914,31482,519
ng2013pr,894,178894,527
ng2013br,10626,119386,1907
bj1996ir,5141,5491,45
bj1996kr,5469,3011,26
bj1996br,5238,19359,161
bj1996pr,420,27892,52
bj2001ir,7070,6219,73
bj2001kr,7718,5349,67
bj2001br,7368,19398,232
bj2001pr,640,30417,80
bj2006ir,10202,17794,256
bj2006kr,11109,16075,249
bj2006br,10786,57232,857
bj2006pr,704,90650,119
bj2011ir,9653,16599,256
bj2011kr,10434,13407,221
bj2011br,10131,47152,750
bj2011pr,885,88174,263
et2000ir,6174,15367,166
et2000kr,6803,10873,126
et2000br,6516,44174,489
et2000pr,671,68642,184
et2005ir,8461,14070,192
et2005kr,9337,9861,149
et2005br,9025,39881,584
et2005pr,791,67540,194
et2011ir,7511,16515,201
et2011kr,8126,11654,151
et2011br,7808,45540,566
et2011pr,523,77744,91
et2016ir,8948,15683,211
et2016kr,9835,10641,155
et2016br,9596,41392,586
et2016pr,540,75224,90
ls2004ir,7871,7095,84
ls2004pr,683,40490,108
ls2004kr,8704,3697,48
ls2004br,8433,14708,185
ls2009ir,7493,7624,93
ls2009pr,783,44546,127
ls2009kr,8333,3999,53
ls2009br,8040,14429,185
ls2014ir,6649,6621,74
ls2014kr,7449,3138,38
ls2014br,7190,11710,138
ls2014pr,798,40197,115
mg1992ir,3874,6260,36
mg1992kr,4083,5273,32
mg1992br,3887,18931,107
mg1992pr,153,31423,12
mg1997ir,5069,7060,59
mg1997kr,5421,3681,32
mg1997br,5212,21653,181
mg1997pr,399,35059,63
mg2003ir,11495,7949,115
mg2003kr,12361,5415,84
mg2003br,12031,20799,313
mg2003pr,445,38325,38
mg2008ir,8176,17375,223
mg2008kr,8860,12448,170
mg2008br,8542,48464,637
mg2008pr,893,85858,252
nm1992ir,4526,5421,36
nm1992pr,156,26624,11
nm1992kr,4870,3916,28
nm1992br,4620,13372,92
nm2000ir,6392,6755,70
nm2000pr,617,31675,82
nm2000kr,7087,3989,45
nm2000br,6873,14946,163
nm2006ir,8352,9804,128
