name,variables,records,size_in_mb
mp1996,2522,30696,142
mp1997,2389,46594,235
mp1998,2436,32390,164
mp1999,2679,33289,173
mp2000,3111,33945,195
mp2001,3116,45420,262
mp2002,3161,52854,309
mp2003,3185,46144,269
mp2004,3194,46446,270
mp2005,3229,45879,268
mp2006,3240,46272,271
mp2007,3436,42007,284
mp2008,3598,44582,312
mp2009,3655,49756,355
mp2010,3663,44580,315
mp2011,3897,47864,346
mp2012,3604,52668,366
mp2013,3518,49825,346
mp2014,3533,47221,330
mp2015,3474,48313,327
mp2016,3061,47539,310
